"player","team","pos","country","season","tier"
"Cyrille Regis","West Bromwich Albion","FW","England",1981,1
"Mark Wallington","Leicester City","GK","England",1981,2
"Kirk Stephens","Luton Town","DF","England",1981,2
"Mick McCarthy","Barnsley","DF","Republic of Ireland",1981,2
"Glenn Roeder","Queens Park Rangers","DF","England",1981,2
"Steve Buckley","Derby County","DF","England",1981,2
"Ricky Hill","Luton Town","MF","England",1981,2
"Ian Banks","Barnsley","MF","England",1981,2
"Brian Horton","Luton Town","MF","England",1981,2
"David Moss","Luton Town","FW","England",1981,2
"Simon Stainrod","Queens Park Rangers","FW","England",1981,2
"Paul Walsh","Charlton Athletic","FW","England",1981,2
"Gerry Peyton","Fulham","GK","Republic of Ireland",1981,3
"Malcolm Brown","Huddersfield Town","DF","England",1981,3
"Tony Gale","Fulham","DF","England",1981,3
"Martin Dobson","Burnley","DF","England",1981,3
"Dave Rushbury","Carlisle United","DF","England",1981,3
"Phil Bonnyman","Chesterfield","MF","Scotland",1981,3
"Danny Wilson","Chesterfield","MF","Northern Ireland",1981,3
"Dick Tydeman","Gillingham","MF","England",1981,3
"Gordon Davies","Fulham","FW","Wales",1981,3
"Keith Cassells","Oxford United","FW","England",1981,3
"Tony Kellow","Exeter City","FW","England",1981,3
"Keith Waugh","Sheffield United","GK","England",1981,4
"Ces Podd","Bradford City","DF","Saint Kitts and Nevis",1981,4
"Paul Hilton","Bury","DF","England",1981,4
"Colin Methven","Wigan Athletic","DF","Scotland",1981,4
"Steve Sherlock","Stockport County","DF","England",1981,4
"Billy Kellock","Peterborough United","MF","Scotland",1981,4
"Roger Osborne","Colchester United","MF","England",1981,4
"Micky Gynn","Peterborough United","MF","England",1981,4
"Bobby Campbell","Bradford City","FW","Northern Ireland",1981,4
"Mark Chamberlain","Port Vale","FW","England",1981,4
"Craig Madden","Bury","FW","England",1981,4
"Peter Shilton","Southampton","GK","England",1982,1
"Danny Thomas","Coventry City","DF","England",1982,1
"Mark Lawrenson","Liverpool","DF","Republic of Ireland",1982,1
"Alan Hansen","Liverpool","DF","Scotland",1982,1
"Kenny Sansom","Arsenal","DF","England",1982,1
"Bryan Robson","Manchester United","MF","England",1982,1
"Graeme Souness","Liverpool","MF","Scotland",1982,1
"Sammy Lee","Liverpool","MF","England",1982,1
"Ian Rush","Liverpool","FW","Wales",1982,1
"Kenny Dalglish","Liverpool","FW","Scotland",1982,1
"Steve Coppell","Manchester United","FW","England",1982,1
"John Burridge","Wolverhampton Wanderers","GK","England",1982,2
"John Humphrey","Wolverhampton Wanderers","DF","England",1982,2
"Mick McCarthy","Barnsley","DF","Republic of Ireland",1982,2
"Tony Gale","Fulham","DF","England",1982,2
"John Ryan","Oldham Athletic","DF","England",1982,2
"Kenny Hibbitt","Wolverhampton Wanderers","MF","England",1982,2
"Ray Houghton","Fulham","MF","Republic of Ireland",1982,2
"Ronnie Glavin","Barnsley","MF","Scotland",1982,2
"Kevin Keegan","Newcastle United","FW","England",1982,2
"Andy Gray","Wolverhampton Wanderers","FW","Scotland",1982,2
"Gordon Davies","Fulham","FW","Wales",1982,2
"David Felgate","Lincoln City","GK","Wales",1982,3
"Malcolm Brown","Huddersfield Town","DF","England",1982,3
"Trevor Peake","Lincoln City","DF","England",1982,3
"Steve Bruce","Gillingham","DF","England",1982,3
"Micky Adams","Gillingham","DF","England",1982,3
"Neil Webb","Portsmouth","MF","England",1982,3
"David Williams","Bristol Rovers","MF","Wales",1982,3
"Bobby Doyle","Portsmouth","MF","Scotland",1982,3
"Kerry Dixon","Reading","FW","England",1982,3
"Alan Biley","Portsmouth","FW","England",1982,3
"Glenn Cockerill","Lincoln City","FW","England",1982,3
"Iain Hesford","Blackpool","GK","Wales",1982,4
"Chris Price","Hereford United","DF","England",1982,4
